Designator,Mid X,Mid Y,Layer,Rotation
C1,22.135mm,86.35mm,Bottom,180.0
C2,22.135mm,84.35mm,Bottom,180.0
C3,22.135mm,82.35mm,Bottom,180.0
C4,22.135mm,80.35mm,Bottom,180.0
C5,22.135mm,78.35mm,Bottom,180.0
C6,18.135mm,86.35mm,Bottom,0.0
C7,18.135mm,84.35mm,Bottom,0.0
C8,18.135mm,82.35mm,Bottom,0.0
C9,18.135mm,80.35mm,Bottom,0.0
C10,18.135mm,78.35mm,Bottom,0.0
C14,12.3mm,76.2mm,Bottom,180.0
C15,12.3mm,74.2mm,Bottom,180.0
C16,12.3mm,72.2mm,Bottom,180.0
C17,12.3mm,70.2mm,Bottom,180.0
C18,12.3mm,68.2mm,Bottom,180.0
C19,8.3mm,76.2mm,Bottom,0.0
C20,8.3mm,74.2mm,Bottom,0.0
C21,8.3mm,72.2mm,Bottom,0.0
C22,8.3mm,70.2mm,Bottom,0.0
C23,8.3mm,68.2mm,Bottom,0.0
D2,21.7mm,106.825mm,Bottom,90.0
D3,25.025mm,106.825mm,Bottom,90.0
D4,15.0mm,106.825mm,Bottom,90.0
D5,18.35mm,106.825mm,Bottom,90.0
BT1,92.7mm,13.025067mm,Top,270.0
C11,21.245mm,89.025mm,Top,180.0
C12,18.395mm,89.0mm,Top,0.0
C13,17.395mm,73.75mm,Top,0.0
C24,11.495mm,79.075mm,Top,180.0
C25,8.560001mm,79.075mm,Top,0.0
C26,7.595mm,63.25mm,Top,0.0
C27,36.968mm,38.49025mm,Top,270.0
C28,99.017977mm,34.265mm,Top,90.0
C29,92.875mm,36.024999mm,Top,90.0
C30,99.017977mm,37.655001mm,Top,270.0
C31,90.075mm,40.14mm,Top,0.0
C32,90.075mm,41.94mm,Top,0.0
C33,117.5mm,25.25mm,Top,270.0
D1,88.7mm,22.525067mm,Top,0.0
D8,96.0mm,35.965mm,Top,0.0
F1,19.235mm,66.325mm,Top,180.0
F2,24.225mm,68.325mm,Top,270.0
F3,19.235mm,68.525mm,Top,180.0
