Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,22.135mm,86.350000mm,Bottom,180.0,22.135mm,86.350000mm
C2,22.135mm,84.350000mm,Bottom,180.0,22.135mm,84.350000mm
C3,22.135mm,82.350000mm,Bottom,180.0,22.135mm,82.350000mm
C4,22.135mm,80.350000mm,Bottom,180.0,22.135mm,80.350000mm
C5,22.135mm,78.350000mm,Bottom,180.0,22.135mm,78.350000mm
C6,18.135mm,86.350000mm,Bottom,0.0,18.135mm,86.350000mm
C7,18.135mm,84.350000mm,Bottom,0.0,18.135mm,84.350000mm
C8,18.135mm,82.350000mm,Bottom,0.0,18.135mm,82.350000mm
C9,18.135mm,80.350000mm,Bottom,0.0,18.135mm,80.350000mm
C10,18.135mm,78.350000mm,Bottom,0.0,18.135mm,78.350000mm
C14,12.3mm,76.200000mm,Bottom,180.0,12.3mm,76.200000mm
C15,12.3mm,74.200000mm,Bottom,180.0,12.3mm,74.200000mm
C16,12.3mm,72.200000mm,Bottom,180.0,12.3mm,72.200000mm
C17,12.3mm,70.200000mm,Bottom,180.0,12.3mm,70.200000mm
C18,12.3mm,68.200000mm,Bottom,180.0,12.3mm,68.200000mm
C19,8.3mm,76.200000mm,Bottom,0.0,8.3mm,76.200000mm
C20,8.3mm,74.200000mm,Bottom,0.0,8.3mm,74.200000mm
C21,8.3mm,72.200000mm,Bottom,0.0,8.3mm,72.200000mm
C22,8.3mm,70.200000mm,Bottom,0.0,8.3mm,70.200000mm
C23,8.3mm,68.200000mm,Bottom,0.0,8.3mm,68.200000mm
D2,21.7mm,106.825000mm,Bottom,90.0,21.7mm,106.825000mm
D3,25.025mm,106.825000mm,Bottom,90.0,25.025mm,106.825000mm
D4,15.0mm,106.825000mm,Bottom,90.0,15.0mm,106.825000mm
D5,18.35mm,106.825000mm,Bottom,90.0,18.35mm,106.825000mm
BT1,92.700000mm,13.025067mm,Top,-90.0,92.700000mm,13.025067mm
C11,21.245000mm,89.025000mm,Top,180.0,21.245000mm,89.025000mm
C12,18.395000mm,89.000000mm,Top,0.0,18.395000mm,89.000000mm
C13,17.395000mm,73.750000mm,Top,0.0,17.395000mm,73.750000mm
C24,11.495000mm,79.075000mm,Top,180.0,11.495000mm,79.075000mm
C25,8.560001mm,79.075000mm,Top,0.0,8.560001mm,79.075000mm
C26,7.595000mm,63.250000mm,Top,0.0,7.595000mm,63.250000mm
C27,36.968000mm,38.490250mm,Top,-90.0,36.968000mm,38.490250mm
C28,99.017977mm,34.265000mm,Top,90.0,99.017977mm,34.265000mm
C29,92.875000mm,36.024999mm,Top,90.0,92.875000mm,36.024999mm
C30,99.017977mm,37.655001mm,Top,-90.0,99.017977mm,37.655001mm
C31,90.075000mm,40.140000mm,Top,0.0,90.075000mm,40.140000mm
C32,90.075000mm,41.940000mm,Top,0.0,90.075000mm,41.940000mm
C33,117.500000mm,25.250000mm,Top,-90.0,117.500000mm,25.250000mm
D1,88.700000mm,22.525067mm,Top,0.0,88.700000mm,22.525067mm
D8,96.000000mm,35.965000mm,Top,0.0,96.000000mm,35.965000mm
F1,19.235000mm,66.325000mm,Top,180.0,19.235000mm,66.325000mm
F2,24.225000mm,68.325000mm,Top,-90.0,24.225000mm,68.325000mm
F3,19.235000mm,68.525000mm,Top,180.0,19.235000mm,68.525000mm
F4,19.235000mm,70.725000mm,Top,180.0,19.235000mm,70.725000mm
F5,123.625000mm,92.625000mm,Top,180.0,123.625000mm,92.625000mm
F6,130.812500mm,92.625000mm,Top,180.0,130.812500mm,92.625000mm
F7,116.362500mm,92.550000mm,Top,180.0,116.362500mm,92.550000mm
F8,109.137500mm,92.575000mm,Top,180.0,109.137500mm,92.575000mm
F9,101.912500mm,92.575000mm,Top,180.0,101.912500mm,92.575000mm
F10,94.537500mm,92.500000mm,Top,180.0,94.537500mm,92.500000mm
G1,6.225000mm,36.150000mm,Top,90.0,6.225000mm,36.150000mm
G2,6.243000mm,51.375000mm,Top,90.0,6.243000mm,51.375000mm
G3,11.105000mm,18.382000mm,Top,0.0,11.105000mm,18.382000mm
G4,11.115000mm,10.305000mm,Top,0.0,11.115000mm,10.305000mm
J1,67.500000mm,115.500000mm,Top,180.0,67.500000mm,115.500000mm
J2,47.925000mm,5.050000mm,Top,90.0,47.925000mm,5.050000mm
J3,124.900000mm,39.450000mm,Top,-90.0,124.900000mm,39.450000mm
J6,129.225000mm,88.175000mm,Top,0.0,129.225000mm,88.175000mm
J7,40.690000mm,3.500000mm,Top,90.0,40.690000mm,3.500000mm
J9,30.430000mm,3.920000mm,Top,0.0,30.430000mm,3.920000mm
JP1,130.317500mm,95.475000mm,Top,90.0,130.317500mm,95.475000mm
JP2,123.117500mm,95.475000mm,Top,90.0,123.117500mm,95.475000mm
JP3,115.877500mm,95.475000mm,Top,90.0,115.877500mm,95.475000mm
JP4,108.642500mm,95.475000mm,Top,90.0,108.642500mm,95.475000mm
JP5,101.417500mm,95.475000mm,Top,90.0,101.417500mm,95.475000mm
JP6,94.047500mm,95.475000mm,Top,90.0,94.047500mm,95.475000mm
JP7,65.775000mm,83.940000mm,Top,0.0,65.775000mm,83.940000mm
L1,101.417977mm,36.965000mm,Top,180.0,101.417977mm,36.965000mm
L2,101.417977mm,34.965000mm,Top,180.0,101.417977mm,34.965000mm
M1,76.825002mm,5.125000mm,Top,90.0,76.825002mm,5.125000mm
M2,98.525000mm,78.175000mm,Top,-90.0,98.525000mm,78.175000mm
M3,35.190000mm,104.162500mm,Top,-90.0,35.190000mm,104.162500mm
M4,46.775000mm,104.200000mm,Top,-90.0,46.775000mm,104.200000mm
M5,118.900000mm,72.325000mm,Top,-90.0,118.900000mm,72.325000mm
M6,81.850005mm,65.700005mm,Top,180.0,81.850005mm,65.700005mm
M7,20.525007mm,49.524997mm,Top,0.0,20.525007mm,49.524997mm
P1,18.562505mm,50.643334mm,Top,180.0,18.562505mm,50.643334mm
P2,15.662505mm,50.643334mm,Top,180.0,15.662505mm,50.643334mm
P3,49.080000mm,20.941000mm,Top,180.0,49.080000mm,20.941000mm
P4,49.105000mm,17.516000mm,Top,180.0,49.105000mm,17.516000mm
P7,118.075000mm,8.750000mm,Top,180.0,118.075000mm,8.750000mm
P8,118.075000mm,11.825000mm,Top,180.0,118.075000mm,11.825000mm
P15,26.645000mm,86.300000mm,Top,-90.0,26.645000mm,86.300000mm
P16,12.170000mm,81.575000mm,Top,-90.0,12.170000mm,81.575000mm
P17,27.570000mm,76.675000mm,Top,-90.0,27.570000mm,76.675000mm
P18,14.945000mm,63.125000mm,Top,-90.0,14.945000mm,63.125000mm
Q7,130.542500mm,103.590000mm,Top,270.0,130.542500mm,103.590000mm
Q8,123.312500mm,103.590000mm,Top,270.0,123.312500mm,103.590000mm
Q9,116.082500mm,103.590000mm,Top,270.0,116.082500mm,103.590000mm
Q10,108.852500mm,103.590000mm,Top,270.0,108.852500mm,103.590000mm
Q11,101.622500mm,103.590000mm,Top,270.0,101.622500mm,103.590000mm
Q12,94.392500mm,103.590000mm,Top,270.0,94.392500mm,103.590000mm
R1,48.800000mm,105.800000mm,Top,0.0,48.800000mm,105.800000mm
R2,28.520000mm,70.575000mm,Top,-90.0,28.520000mm,70.575000mm
R3,28.520000mm,73.575000mm,Top,-90.0,28.520000mm,73.575000mm
R4,81.625000mm,24.425000mm,Top,180.0,81.625000mm,24.425000mm
R7,29.304814mm,10.875000mm,Top,-90.0,29.304814mm,10.875000mm
R8,31.804814mm,10.875000mm,Top,-90.0,31.804814mm,10.875000mm
