Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C0805",-23.135000,103.350000,180.000000,bottom
"C2","10u","C0805",-23.135000,101.350000,180.000000,bottom
"C3","10u","C0805",-23.135000,99.350000,180.000000,bottom
"C4","10u","C0805",-23.135000,97.350000,180.000000,bottom
"C5","10u","C0805",-23.135000,95.350000,180.000000,bottom
"C6","10u","C0805",-19.135000,103.350000,0.000000,bottom
"C7","10u","C0805",-19.135000,101.350000,0.000000,bottom
"C8","10u","C0805",-19.135000,99.350000,0.000000,bottom
"C9","10u","C0805",-19.135000,97.350000,0.000000,bottom
"C10","10u","C0805",-19.135000,95.350000,0.000000,bottom
"C14","10u","C0805",-13.300000,93.200000,180.000000,bottom
"C15","10u","C0805",-13.300000,91.200000,180.000000,bottom
"C16","10u","C0805",-13.300000,89.200000,180.000000,bottom
"C17","10u","C0805",-13.300000,87.200000,180.000000,bottom
"C18","10u","C0805",-13.300000,85.200000,180.000000,bottom
"C19","10u","C0805",-9.300000,93.200000,0.000000,bottom
"C20","10u","C0805",-9.300000,91.200000,0.000000,bottom
"C21","10u","C0805",-9.300000,89.200000,0.000000,bottom
"C22","10u","C0805",-9.300000,87.200000,0.000000,bottom
"C23","10u","C0805",-9.300000,85.200000,0.000000,bottom
"D2","B5819W","SOD-123",-22.700000,123.825000,90.000000,bottom
"D3","B5819W","SOD-123",-26.025000,123.825000,90.000000,bottom
"D4","B5819W","SOD-123",-16.000000,123.825000,90.000000,bottom
"D5","B5819W","SOD-123",-19.350000,123.825000,90.000000,bottom
"BT1","CR1220","CR1220-2",87.073500,21.450058,-90.000000,top
"C11","100n","C0603",22.245000,106.025000,180.000000,top
"C12","10n","C0603",19.395000,106.000000,0.000000,top
"C13","10n","C0603",18.395000,90.750000,0.000000,top
"C24","100n","C0603",12.495000,96.075000,180.000000,top
"C25","10n","C0603",9.560001,96.075000,0.000000,top
"C26","10n","C0603",8.595000,80.250000,0.000000,top
"C27","100n","C0603",35.250000,56.865750,-90.000000,top
"C28","10n","C0603",94.836727,36.800000,90.000000,top
"C29","100n","C0603",88.693750,38.559999,90.000000,top
"C30","10n","C0603",94.836727,40.190001,-90.000000,top
"C31","100n","C0603",85.893750,42.675000,0.000000,top
"C32","1u","C0603",85.893750,44.475000,0.000000,top
"C33","100n","C0603",125.275000,25.625000,-90.000000,top
"D1","1N4148WS","SOD-323",83.073500,30.950058,0.000000,top
"D8","NUP2105L","SOT-23",91.818750,38.500000,180.000000,top
"F1","12H1500D","PAD-1206-PAD",20.235000,83.325000,180.000000,top
"F2","12H1500D","PAD-1206-PAD",25.225000,85.325000,-90.000000,top
"F3","12H1500D","PAD-1206-PAD",20.235000,85.525000,180.000000,top
"F4","12H1500D","PAD-1206-PAD",20.235000,87.725000,180.000000,top
"F5","50mA","Fuse_0603_1608Metric",124.625000,109.625000,180.000000,top
"F6","50mA","Fuse_0603_1608Metric",131.812500,109.625000,180.000000,top
"F7","50mA","Fuse_0603_1608Metric",117.362500,109.550000,180.000000,top
"F8","50mA","Fuse_0603_1608Metric",110.137500,109.575000,180.000000,top
"F9","50mA","Fuse_0603_1608Metric",102.912500,109.575000,180.000000,top
"F10","50mA","Fuse_0603_1608Metric",95.537500,109.500000,180.000000,top
"G1","RUSEFI_LOGO","rusefi_logo",24.350000,10.000000,0.000000,top
"G2","LOGO","LOGO",25.755350,22.882713,0.000000,top
"G3","PROTO_AREA","PROTO_AREA",3.805000,41.957000,0.000000,top
"G4","PROTO_AREA","PROTO_AREA",3.805000,33.725000,0.000000,top
"J1","211PL562L0011","211PL562L0011_2",68.500000,132.500000,180.000000,top
"J2","USB_B_Mini","USB-MINI-B-VERTICAL",55.000000,6.525000,90.000000,top
"J3","5569-06A2","Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal",126.100000,47.775000,-90.000000,top
"J6","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",130.225000,105.175000,0.000000,top
"J7","Conn_01x05_Male","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",47.765000,4.975000,90.000000,top
"J9","USB_C","USB_C",37.505000,5.395000,0.000000,top
"JP1","Jumper_3_Open","PinHeader_1x03_P1.27mm_Vertical",131.317500,112.475000,90.000000,top
"JP2","Jumper_3_Open","PinHeader_1x03_P1.27mm_Vertical",124.117500,112.475000,90.000000,top
"JP3","Jumper_3_Open","PinHeader_1x03_P1.27mm_Vertical",116.877500,112.475000,90.000000,top
"JP4","Jumper_3_Open","PinHeader_1x03_P1.27mm_Vertical",109.642500,112.475000,90.000000,top
"JP5","Jumper_3_Open","PinHeader_1x03_P1.27mm_Vertical",102.417500,112.475000,90.000000,top
"JP6","Jumper_3_Open","PinHeader_1x03_P1.27mm_Vertical",95.047500,112.475000,90.000000,top
"JP7","Jumper_3_Open","PinHeader_1x03_P1.27mm_Vertical",66.775000,100.940000,0.000000,top
"L1","470R@100MHz","L_0603_1608Metric",97.236727,39.500000,180.000000,top
"L2","470R@100MHz","L_0603_1608Metric",97.236727,37.500000,180.000000,top
"M1","Module-power_12and5V-0.2","power_12and5V",76.275001,15.999999,90.000000,top
"M2","Module-knock-0.2","knock",99.525000,95.175000,-90.000000,top
"M3","Module-vr-discrete-0.5","vr-discrete",36.190000,121.162500,-90.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",47.775000,121.200000,-90.000000,top
"M5","Module-wbo-0.5","wbo",119.900000,89.325000,-90.000000,top
"M6","Module:mega-mcu100/0.3","mega-mcu100",82.850005,82.700005,180.000000,top
"M7","Module-can-0.1","can",21.525007,66.524997,0.000000,top
"P1","Pad","PAD-TH",19.562505,67.643334,180.000000,top
"P2","Pad","PAD-TH",16.662505,67.643334,180.000000,top
"P3","Pad","PAD-TH",54.700000,40.675000,90.000000,top
"P4","Pad","PAD-TH",51.275000,40.650000,90.000000,top
"P7","Pad","PAD-TH",125.850000,9.125000,180.000000,top
"P8","Pad","PAD-TH",125.850000,12.200000,180.000000,top
"P15","Pad","PAD-TH",27.645000,103.300000,-90.000000,top
"P16","Pad","PAD-TH",13.170000,98.575000,-90.000000,top
